epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10455.6,1.69181,0.85623,1.33205,0.90468,0.83888,0.87658,0.39946,1.85146,0.88859,1.40697,0.000990365,0.000990365,0.000990365
43,10536.5,1.69401,0.85243,1.33991,0.87187,0.86068,0.87939,0.39414,1.8749,0.90463,1.40763,0.000973861,0.000973861,0.000973861
44,10649.6,1.6856,0.86722,1.33925,0.89988,0.8752,0.8774,0.36891,1.89857,0.86457,1.41482,0.000957358,0.000957358,0.000957358
45,10751,1.69471,0.85072,1.32428,0.96126,0.88376,0.93452,0.38985,1.86799,0.87041,1.39742,0.000940855,0.000940855,0.000940855
46,10871.8,1.6772,0.85375,1.34149,0.8997,0.91038,0.91338,0.36084,1.91042,0.88009,1.4345,0.000924352,0.000924352,0.000924352
47,10960.6,1.67527,0.85265,1.32601,0.87867,0.85765,0.88152,0.38655,1.9011,0.8714,1.4055,0.000907848,0.000907848,0.000907848
48,11097.3,1.66883,0.83165,1.31817,0.95785,0.90987,0.92915,0.37074,1.91485,0.82529,1.40223,0.000891345,0.000891345,0.000891345
49,11246.6,1.6651,0.81796,1.31241,0.91645,0.8823,0.89014,0.38241,1.88434,0.8608,1.41112,0.000874842,0.000874842,0.000874842
50,11358.8,1.6447,0.81383,1.32666,0.8857,0.8914,0.89417,0.38176,1.89147,0.8423,1.40482,0.000858338,0.000858338,0.000858338
51,11494.2,1.65051,0.78847,1.31327,0.91587,0.85804,0.87171,0.38612,1.87618,0.84153,1.39121,0.000841835,0.000841835,0.000841835
52,11667.5,1.66659,0.82132,1.31334,0.879,0.83737,0.81037,0.37949,1.88473,0.84684,1.39816,0.000825332,0.000825332,0.000825332
53,11780,1.67239,0.81582,1.32537,0.87648,0.8432,0.84095,0.36079,1.89579,0.86282,1.39524,0.000808828,0.000808828,0.000808828
54,11897.3,1.6223,0.79998,1.28272,0.91101,0.85036,0.9167,0.36306,1.9103,0.85932,1.40165,0.000792325,0.000792325,0.000792325
55,12021.8,1.64393,0.78662,1.30953,0.85172,0.82602,0.80258,0.37017,1.88078,0.8482,1.39782,0.000775822,0.000775822,0.000775822
56,12168,1.61702,0.78093,1.29422,0.90652,0.88502,0.915,0.38438,1.90476,0.83745,1.39448,0.000759318,0.000759318,0.000759318
57,12268.5,1.6122,0.77741,1.30111,0.8941,0.86785,0.87541,0.3695,1.92035,0.84116,1.40896,0.000742815,0.000742815,0.000742815
58,12388.7,1.61484,0.78243,1.28634,0.84969,0.81496,0.80113,0.37013,1.90512,0.8553,1.41009,0.000726312,0.000726312,0.000726312
59,12540.9,1.61711,0.77184,1.29121,0.86154,0.8293,0.81882,0.37836,1.90816,0.7908,1.3952,0.000709809,0.000709809,0.000709809
60,12626.8,1.61095,0.76769,1.28488,0.89225,0.87077,0.88483,0.37224,1.91945,0.81706,1.41473,0.000693305,0.000693305,0.000693305
61,12710.7,1.59678,0.75477,1.27206,0.92481,0.8823,0.91647,0.37605,1.93143,0.8249,1.40975,0.000676802,0.000676802,0.000676802
62,12928.6,1.59388,0.77743,1.2804,0.92922,0.87987,0.9323,0.38168,1.93551,0.84073,1.4189,0.000660299,0.000660299,0.000660299
63,13012,1.59069,0.77942,1.29291,0.90842,0.86057,0.92003,0.38269,1.94086,0.81017,1.44331,0.000643795,0.000643795,0.000643795
64,13122.7,1.60681,0.7657,1.29871,0.86958,0.82161,0.83875,0.39159,1.99403,0.82945,1.44108,0.000627292,0.000627292,0.000627292
65,13220.3,1.62236,0.76563,1.28932,0.89611,0.82438,0.88643,0.37593,1.9389,0.80076,1.42364,0.000610789,0.000610789,0.000610789
66,13366.5,1.56328,0.7548,1.28018,0.90523,0.83445,0.87783,0.3755,1.93636,0.81738,1.41993,0.000594286,0.000594286,0.000594286
67,13466.5,1.55975,0.73071,1.2661,0.92627,0.85961,0.90453,0.38796,1.94829,0.81125,1.42869,0.000577782,0.000577782,0.000577782
68,13572.9,1.53739,0.74685,1.25043,0.89275,0.83737,0.87449,0.39463,1.92784,0.78547,1.42411,0.000561279,0.000561279,0.000561279
69,13675.4,1.54135,0.73389,1.26254,0.90682,0.83154,0.89085,0.36903,1.9358,0.79587,1.41112,0.000544776,0.000544776,0.000544776
70,13786.4,1.53794,0.72123,1.24912,0.87481,0.86715,0.88374,0.40028,1.94774,0.77541,1.41507,0.000528272,0.000528272,0.000528272
71,13897,1.51613,0.7825,1.249,0.88414,0.86965,0.84001,0.37394,1.94011,0.80207,1.4222,0.000511769,0.000511769,0.000511769
72,14001.4,1.49621,0.72627,1.22816,0.93284,0.88376,0.94011,0.36974,1.95458,0.79344,1.4231,0.000495266,0.000495266,0.000495266
73,14127.1,1.50593,0.72587,1.24278,0.89868,0.8681,0.87429,0.36838,1.93847,0.78743,1.41457,0.000478762,0.000478762,0.000478762
74,14284.4,1.4997,0.70036,1.23782,0.89155,0.88642,0.89625,0.38049,1.93742,0.77449,1.42269,0.000462259,0.000462259,0.000462259
75,14423.2,1.5095,0.71539,1.23008,0.91286,0.8664,0.89753,0.3743,1.95907,0.80892,1.42375,0.000445756,0.000445756,0.000445756
76,14549.4,1.49224,0.69242,1.22774,0.92634,0.87939,0.91159,0.37216,1.93945,0.76033,1.41546,0.000429253,0.000429253,0.000429253
77,14637.9,1.47076,1.16407,1.2304,0.85913,0.8908,0.87534,0.3602,1.93749,0.78341,1.42745,0.000412749,0.000412749,0.000412749
78,14759,1.49919,0.71259,1.2507,0.84482,0.84626,0.84202,0.35431,1.97614,0.78478,1.44094,0.000396246,0.000396246,0.000396246
79,14896.7,1.44297,0.6833,1.21243,0.86068,0.84459,0.81496,0.36397,1.94432,0.78175,1.4237,0.000379743,0.000379743,0.000379743
80,15036.4,1.45574,0.68969,1.21827,0.92528,0.91406,0.91971,0.37967,1.96407,0.7886,1.43715,0.000363239,0.000363239,0.000363239
81,15146.7,1.46704,0.70431,1.22361,0.91126,0.89683,0.90055,0.38164,1.96295,0.79005,1.42917,0.000346736,0.000346736,0.000346736
82,15240.5,1.44126,0.69458,1.21501,0.87977,0.8534,0.84558,0.36518,1.9412,0.77934,1.42516,0.000330233,0.000330233,0.000330233
83,15375.8,1.46327,0.68211,1.22011,0.90331,0.89049,0.87677,0.35216,1.95292,0.77366,1.42707,0.000313729,0.000313729,0.000313729
84,15509.1,1.44845,0.65843,1.21792,0.88433,0.89062,0.87842,0.35488,1.97719,0.76797,1.43796,0.000297226,0.000297226,0.000297226
85,15642.1,1.4354,0.67112,1.22314,0.90648,0.89396,0.89148,0.36467,1.98362,0.79042,1.44833,0.000280723,0.000280723,0.000280723
86,15721.6,1.4032,0.64974,1.20139,0.92988,0.91862,0.9214,0.36143,1.98359,0.77465,1.45188,0.00026422,0.00026422,0.00026422
87,15818.9,1.42719,0.67144,1.20627,0.87,0.84836,0.84432,0.36306,1.97793,0.76215,1.44929,0.000247716,0.000247716,0.000247716
88,15944.7,1.38626,0.65007,1.1992,0.87839,0.84461,0.84612,0.3689,1.98775,0.76613,1.46834,0.000231213,0.000231213,0.000231213
89,16066.6,1.3971,0.66666,1.19225,0.877,0.84254,0.83838,0.37383,1.96306,0.75848,1.43552,0.00021471,0.00021471,0.00021471
90,16156.8,1.40556,0.64743,1.20034,0.90882,0.85911,0.87233,0.36711,1.99645,0.76035,1.45211,0.000198206,0.000198206,0.000198206
91,16266.5,1.40922,0.63207,1.20065,0.89599,0.86515,0.86445,0.35462,2.00378,0.76689,1.46143,0.000181703,0.000181703,0.000181703
92,16381.9,1.37916,0.62919,1.20143,0.89976,0.87223,0.87192,0.34709,2.00645,0.75346,1.46958,0.0001652,0.0001652,0.0001652
93,16499.5,1.33608,0.61412,1.18086,0.90485,0.87374,0.88732,0.35773,2.01181,0.74203,1.46884,0.000148696,0.000148696,0.000148696
94,16612.9,1.3389,0.65779,1.1714,0.93102,0.88527,0.91437,0.36537,2.02301,0.74807,1.46937,0.000132193,0.000132193,0.000132193
95,16738.5,1.34248,0.60915,1.17702,0.9583,0.90158,0.93957,0.36687,2.01557,0.76329,1.46565,0.00011569,0.00011569,0.00011569
96,16918,1.31916,0.6123,1.16134,0.90314,0.86348,0.85637,0.35204,2.00974,0.75683,1.46797,9.91865e-05,9.91865e-05,9.91865e-05
97,17007.3,1.31361,0.60419,1.16891,0.90662,0.86609,0.86334,0.35729,2.01161,0.75159,1.47321,8.26832e-05,8.26832e-05,8.26832e-05
98,17149.7,1.32227,0.60072,1.17509,0.90232,0.8769,0.87261,0.35651,2.0179,0.74522,1.47579,6.61799e-05,6.61799e-05,6.61799e-05
99,17267.1,1.29058,0.59477,1.16943,0.90945,0.87069,0.86859,0.35441,2.02083,0.74424,1.47984,4.96766e-05,4.96766e-05,4.96766e-05
100,17382.1,1.31196,0.59737,1.16333,0.91088,0.87111,0.87147,0.36234,2.02506,0.74517,1.48433,3.31733e-05,3.31733e-05,3.31733e-05
